1,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,60:9,"IRoycoDayKernel(address(this)).attemptLiquidityPremiumReinvestment(_stShares, state.stEffectiveNAV, IERC20(_immutables.seniorTranche).totalSupply())",assert(true)
2,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,62:9,"_commitPostSyncLiquidityTrancheRawNAV($, _immutables, state)",assert(true)
3,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,85:9,"state = _previewSyncTrancheAccounting($, _immutables)",assert(true)
4,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,85:17,"_previewSyncTrancheAccounting($, _immutables)",0
5,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,85:17,"_previewSyncTrancheAccounting($, _immutables)",(-1)
6,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,85:17,"_previewSyncTrancheAccounting($, _immutables)",1
7,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,85:17,"_previewSyncTrancheAccounting($, _immutables)",true
8,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,85:17,"_previewSyncTrancheAccounting($, _immutables)",false
9,DeleteExpressionMutation,src/libraries/logic/AccountingSyncLogic.sol,88:9,"claims = TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",assert(true)
10,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,88:18,"TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",0
11,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,88:18,"TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",(-1)
12,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,88:18,"TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",1
13,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,88:18,"TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",true
14,AssignmentMutation,src/libraries/logic/AccountingSyncLogic.sol,88:18,"TrancheClaimsLogic._deriveTrancheAssetClaims($, _immutables, _trancheType, state)",false
15,IfStatementMutation,src/libraries/logic/AccountingSyncLogic.sol,91:13,_trancheType == TrancheType.SENIOR,true
16,IfStatementMutation,src/libraries/logic/AccountingSyncLogic.sol,91:13,_trancheType == TrancheType.SENIOR,false
